MES REPORTADO,VIGENCIA,INDICADOR,NIVEL DE RIESGO
ENERO,2019,0.01,SIN RIESGO
FEBRERO,2019,0.09,SIN RIESGO
MARZO,2019,0.1,SIN RIESGO
ABRIL,2019,0.13,SIN RIESGO
MAYO,2019,0.12,SIN RIESGO
JUNIO,2019,0.13,SIN RIESGO
JULIO,2019,0.11,SIN RIESGO
AGOSTO,2019,0.1,SIN RIESGO
SEPTIEMBRE,2019,0.13,SIN RIESGO
OCTUBRE,2019,0.14,SIN RIESGO
NOVIEMBRE,2019,0.19,SIN RIESGO
DICIEMBRE,2019,0.2,SIN RIESGO
ENERO,2020,0.02,SIN RIESGO
FEBRERO,2020,0.05,SIN RIESGO
MARZO,2020,0.02,SIN RIESGO
ABRIL,2020,0.1,SIN RIESGO
MAYO,2020,0.09,SIN RIESGO
JUNIO,2020,0.17,SIN RIESGO
JULIO,2020,0.18,SIN RIESGO
AGOSTO,2020,0.47,SIN RIESGO
SEPTIEMBRE,2020,0.24,SIN RIESGO
OCTUBRE,2020,0.38,SIN RIESGO
NOVIEMBRE,2020,0.67,SIN RIESGO
DICIEMBRE,2020,0.18,SIN RIESGO
ENERO,2021,0.035,SIN RIESGO
FEBRERO,2021,0.313,SIN RIESGO
MARZO,2021,0.676,SIN RIESGO
ABRIL,2021,0.051,SIN RIESGO
MAYO,2021,0.86,SIN RIESGO
JUNIO,2021,0.343,SIN RIESGO
JULIO,2021,0.064,SIN RIESGO
AGOSTO,2021,0.362,SIN RIESGO
SEPTIEMBRE,2021,0.162,SIN RIESGO
OCTUBRE,2021,0.056,SIN RIESGO
NOVIEMBRE,2021,0.543,SIN RIESGO
DICIEMBRE,2021,0.082,SIN RIESGO
ENERO,2022,0.033,SIN RIESGO
FEBRERO,2022,0.376,SIN RIESGO
MARZO,2022,0.251,SIN RIESGO
ABRIL,2022,0.515,SIN RIESGO
MAYO,2022,0.418,SIN RIESGO
JUNIO,2022,0.421,SIN RIESGO
JULIO,2022,0,SIN RIESGO
AGOSTO,2022,0,SIN RIESGO
SEPTIEMBRE,2022,0.196,SIN RIESGO
OCTUBRE,2022,0.192,SIN RIESGO
NOVIEMBRE,2022,0.179,SIN RIESGO
DICIEMBRE,2022,0.078,SIN RIESGO
ENERO,2023,0.056,SIN RIESGO
FEBRERO,2023,0.039,SIN RIESGO
MARZO,2023,0.292,SIN RIESGO
ABRIL,2023,0.543,SIN RIESGO
MAYO,2023,0.178,SIN RIESGO
JUNIO,2023,0.717,SIN RIESGO
JULIO,2023,0.02,SIN RIESGO
AGOSTO,2023,0,SIN RIESGO
SEPTIEMBRE,2023,0,SIN RIESGO
OCTUBRE,2023,0.28,SIN RIESGO
NOVIEMBRE,2023,1.098,SIN RIESGO
DICIEMBRE,2023,0.405,SIN RIESGO
