Ranking,Variable,Tipo,Relaciones_Fuertes,Indice_Redundancia,Nivel_Redundancia,Observacion
1,DENSIDAD POBLACIONAL,Numérica,6,1.0,Muy Alta,
2,ACCESO A AGUA POTABLE ADECUADO,Numérica,6,1.0,Muy Alta,
3,PORCENTAJE DE LA POBLACION CON ACCESO A METODOS DE SANEAMIENTO ADECUADOS,Numérica,6,1.0,Muy Alta,
4,COBERTURA DE ACUEDUCTO URBANO,Numérica,6,1.0,Muy Alta,
5,COBERTURA DE ACUEDUCTO RURAL,Numérica,6,1.0,Muy Alta,
6,COBERTURA DE ALCANTARILLADO URBANO,Numérica,6,1.0,Muy Alta,
7,COBERTURA DE ALCANTARILLADO RURAL,Numérica,6,1.0,Muy Alta,
8,INDICE DE DESEMPENO INSTITUCIONAL,Numérica,5,0.833,Muy Alta,
9,CALIDAD DEL AGUA,Numérica,2,0.333,Baja,
10,CONDUCTIVIDAD ELECTRICA,Numérica,2,0.333,Baja,
11,DEMANDA BIOQUIMICA DE OXIGENO (DBO5),Numérica,2,0.333,Baja,
12,Temp_Max_C,Numérica,1,0.167,Muy Baja,
13,Temp_Media_C,Numérica,1,0.167,Muy Baja,
14,VolumenUtilDiarioMasa,Numérica,1,0.167,Muy Baja,
15,irca,Numérica,1,0.167,Muy Baja,
16,AGUAS RESIDUALES TRATADAS,Numérica,1,0.167,Muy Baja,
17,FOSFORO TOTAL,Numérica,1,0.167,Muy Baja,
18,NITROGENO TOTAL,Numérica,1,0.167,Muy Baja,
19,OXIGENO DISUELTO (OD),Numérica,1,0.167,Muy Baja,
20,SOLIDOS SUSPENDIDOS TOTALES,Numérica,1,0.167,Muy Baja,
21,TEMPERATURA,Numérica,1,0.167,Muy Baja,
22,TURBIDEZ,Numérica,1,0.167,Muy Baja,
23,Precipitacion_mm,Numérica,0,0.0,Muy Baja,
24,Temp_Min_C,Numérica,0,0.0,Muy Baja,
25,Humedad_Relativa,Numérica,0,0.0,Muy Baja,
26,Velocidad_Viento,Numérica,0,0.0,Muy Baja,
27,Radiacion_Solar,Numérica,0,0.0,Muy Baja,
28,Anio,Numérica,0,0.0,Muy Baja,
29,Mes,Numérica,0,0.0,Muy Baja,
30,ONI,Numérica,0,0.0,Muy Baja,
31,POBLACION TOTAL,Numérica,0,0.0,Muy Baja,
32,CONTINUIDAD DE ACUEDUCTO URBANO,Numérica,0,0.0,Muy Baja,
33,Nivel_Minimo,Numérica,0,0.0,Muy Baja,
34,DEMANDA QUIMICA DE OXIGENO (DQO),Numérica,0,0.0,Muy Baja,
35,pH,Numérica,0,0.0,Muy Baja,
